City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,bubaque,11.2833,-15.8333,26.33,47,92,4.42,GW,1738683289
84,bikenibeu village,1.3673,173.1241,26.98,83,40,6.17,KI,1738683290
85,sao vicente,-23.9631,-46.3919,30.98,58,20,2.06,BR,1738683291
86,ola,59.5833,151.2833,-28.41,87,12,3.37,RU,1738683293
87,hirosaki,40.5931,140.4725,-4.6,83,70,8.05,JP,1738683294
88,punta arenas,-53.15,-70.9167,11.06,58,75,11.32,CL,1738683295
89,aktau,43.65,51.2,4.32,61,100,4.85,KZ,1738683296
90,khair,27.95,77.8333,18.25,59,94,2.01,IN,1738683297
91,kodiak,57.79,-152.4072,-6.27,93,0,0.0,US,1738683117
92,borogontsy,62.6683,131.1683,-34.91,96,93,2.7,RU,1738683299
93,ballina,-28.8667,153.5667,23.51,78,100,2.07,AU,1738683300
94,noumea,-22.2763,166.4572,27.24,99,93,4.58,NC,1738683301
95,ribeira grande,38.5167,-28.7,14.32,88,75,3.6,PT,1738683302
96,channagiri,14.0333,75.9333,23.41,26,49,2.04,IN,1738683303
97,fort bragg,35.139,-79.006,18.91,63,0,3.6,US,1738683305
98,tanumah,27.1,44.1333,19.6,23,2,2.46,SA,1738683306
99,harper,4.375,-7.7169,29.92,60,43,4.4,LR,1738683307
100,azhikkal,11.9,75.3667,24.55,82,29,3.02,IN,1738683308
101,tshela,-4.9833,12.9333,25.22,91,100,0.44,CD,1738683309
102,bredasdorp,-34.5322,20.0403,24.52,49,0,5.94,ZA,1738683311
103,kolda,12.8833,-14.95,32.17,12,0,3.09,SN,1738683313
104,fort st. john,56.2499,-120.8529,-34.06,68,75,2.06,CA,1738683314
105,carnarvon,-24.8667,113.6333,27.95,72,10,3.78,AU,1738683316
106,khandyga,62.6667,135.6,-43.09,99,64,0.95,RU,1738683317
107,hithadhoo,-0.6,73.0833,27.9,71,15,4.64,MV,1738683318
108,keflavik,64.0049,-22.5624,-1.76,86,75,9.26,IS,1738683319
109,whitehorse,60.7161,-135.0538,-16.57,85,100,2.06,CA,1738683320
110,kolonia,50.9333,6.95,3.36,75,0,4.12,DE,1738683321
111,basotu,-4.3667,35.0833,19.86,75,100,1.37,TZ,1738683322
112,lebu,-37.6167,-73.65,18.99,54,60,3.71,CL,1738683323
113,shimoda,34.6667,138.95,2.62,70,3,12.62,JP,1738683324
114,ponta delgada,37.7333,-25.6667,15.4,77,75,4.12,PT,1738683325
115,charlottetown,46.2352,-63.1267,-2.67,70,20,6.71,CA,1738683085
116,santa cecilia,-26.9608,-50.4269,24.67,75,100,0.67,BR,1738683328
117,sai buri,6.7013,101.6168,24.94,78,24,4.54,TH,1738683329
118,rio grande,-32.035,-52.0986,30.05,64,11,4.17,BR,1738683082
119,alotau,-10.3069,150.4462,25.36,92,100,2.54,PG,1738683331
120,singkil,-7.9855,111.4161,24.42,95,100,1.79,ID,1738683332
121,cole harbour,44.6724,-63.4751,1.07,68,75,9.77,CA,1738683333
122,magadan,59.5667,150.8,-26.75,76,1,2.63,RU,1738683334
123,iskateley,67.6803,53.1512,-10.35,92,93,5.13,RU,1738683335
124,barra dos coqueiros,-10.9089,-37.0386,30.01,70,20,5.66,BR,1738683336
125,elimaki,60.7167,26.4667,-11.61,76,98,1.59,FI,1738683338
126,cabo san lucas,22.8909,-109.9124,19.17,10,0,0.0,MX,1738683275
127,constantia,44.1833,28.65,2.61,53,58,5.05,RO,1738683202
128,ocean shores,46.9737,-124.1563,1.68,93,100,3.6,US,1738683144
129,kailua-kona,19.6406,-155.9956,20.98,73,0,6.69,US,1738683342
130,hadibu,12.65,54.0333,21.63,62,48,6.03,YE,1738683345
131,shenjiamen,29.9576,122.298,6.33,58,0,5.53,CN,1738683346
132,georgetown,5.4112,100.3354,28.96,76,20,1.54,MY,1738683088
133,twin falls,42.3505,-114.6445,3.29,70,100,5.66,US,1738683348
134,vilyuchinsk,52.9306,158.4028,-7.85,93,100,1.67,RU,1738683349
135,olonkinbyen,70.9221,-8.7187,-0.92,84,99,6.69,SJ,1738683350
136,woodward,36.4337,-99.3904,-4.49,100,100,5.14,US,1738683351
137,alcudia,39.8532,3.1214,14.83,67,3,3.18,ES,1738683336
138,utrik,11.2278,169.8474,26.82,76,96,9.73,MH,1738683353
139,thompson,55.7435,-97.8558,-27.91,76,0,3.6,CA,1738683354
140,port alfred,-33.5906,26.891,27.88,83,9,1.34,ZA,1738683355
141,wuhu,31.3366,118.3755,4.69,54,1,1.72,CN,1738683357
142,fairbanks,64.8378,-147.7164,-17.0,85,75,0.0,US,1738683358
143,edinburgh of the seven seas,-37.0676,-12.3116,15.17,70,26,5.38,SH,1738683359
144,malvan,16.0667,73.4667,24.72,70,32,6.54,IN,1738683360
145,caninde de sao francisco,-9.66,-37.7894,37.05,25,80,6.48,BR,1738683361
146,hamilton,39.1834,-84.5333,3.11,81,100,7.2,US,1738683313
147,sitka,57.0531,-135.33,-3.06,46,0,2.06,US,1738683363
148,east london,-33.0153,27.9116,27.68,75,12,5.35,ZA,1738683323
149,yondo,7.0062,-73.9097,31.27,48,20,1.54,CO,1738683365
150,oum hadjer,13.2954,19.6966,32.88,10,1,0.64,TD,1738683366
151,lompoc,34.6391,-120.4579,13.41,76,100,5.14,US,1738683368
152,bamboo flat,11.7,92.7167,26.05,83,1,2.57,IN,1738683175
153,pontes e lacerda,-15.2261,-59.3353,33.09,48,91,2.01,BR,1738683370
154,al khums,32.6486,14.2619,15.3,60,0,4.83,LY,1738683371
155,essaouira,31.5125,-9.77,17.16,60,0,11.79,MA,1738683160
156,kilinochchi,9.3961,80.3982,23.36,79,74,2.43,LK,1738683373
157,baise city,23.8997,106.6133,11.79,52,5,1.14,CN,1738683375
158,mae hong son,19.3003,97.9685,19.26,50,5,0.9,TH,1738683376
159,pariaman,-0.619,100.12,26.03,83,100,3.48,ID,1738683378
160,san cristobal,7.7669,-72.225,21.74,39,62,3.85,VE,1738683379
161,urussu,54.5981,53.4631,-11.97,97,97,1.59,RU,1738683380
162,lata,40.1629,-8.3327,17.49,47,99,1.7,PT,1738683381
163,enewetak,11.3474,162.3373,26.88,65,56,8.74,MH,1738683382
164,hermanus,-34.4187,19.2345,22.67,71,0,4.62,ZA,1738683383
165,licheng,23.2955,113.8284,11.23,40,0,1.75,CN,1738683384
166,ilulissat,69.2167,-51.1,-19.99,71,75,7.2,GL,1738683385
167,broome,42.2506,-75.833,-0.26,77,100,6.69,US,1738683386
168,quatre cocos,-20.2078,57.7625,29.06,80,13,2.65,MU,1738683388
169,kingston,17.997,-76.7936,28.98,70,40,2.06,JM,1738683088
170,port saint john's,-31.6229,29.5448,29.1,78,10,5.7,ZA,1738683390
171,kununurra,-15.7667,128.7333,25.99,89,99,4.12,AU,1738683391
172,tazovsky,67.4667,78.7,-30.06,100,100,1.3,RU,1738683392
173,porto de moz,-1.7483,-52.2383,21.91,98,100,1.72,BR,1738683393
174,lydenburg,-25.0978,30.4597,17.54,96,100,2.16,ZA,1738683394
175,port elizabeth,-33.918,25.5701,25.17,85,0,4.02,ZA,1738683395
176,woodlake,37.4211,-77.6793,19.27,60,6,1.79,US,1738683396
177,vorkuta,67.5,64.0,-25.14,100,19,1.16,RU,1738683397
178,vernon,50.2581,-119.2691,-11.25,61,100,3.13,CA,1738683398
179,lihue,21.9789,-159.3672,18.03,88,0,3.09,US,1738683399
180,taro,-8.3862,115.28,21.01,94,100,1.32,ID,1738683401
181,saddiqabad,28.3062,70.1307,15.83,25,77,0.6,PK,1738683402
182,sur,22.5667,59.5289,20.71,55,0,3.98,OM,1738683403
183,carnot,4.9409,15.8665,38.45,10,87,3.03,CF,1738683404
184,maceio,-9.6658,-35.7353,30.69,58,75,7.72,BR,1738683295
185,shache,38.4167,77.2406,-2.34,34,0,1.64,CN,1738683406
186,dan khun thot,15.2085,101.7714,22.06,57,24,3.05,TH,1738683408
187,san fernando de apure,7.8878,-67.4724,33.95,37,34,4.84,VE,1738683409
188,coari,-4.085,-63.1414,27.74,78,94,2.43,BR,1738683348
189,calvinia,-31.4707,19.776,29.64,17,0,9.22,ZA,1738683411
190,turpan,42.9333,89.1667,-1.39,41,18,0.85,CN,1738683413
191,nogliki,51.8333,143.1667,-7.22,87,100,5.62,RU,1738683414
192,al ghayzah,16.2079,52.176,20.38,43,17,3.11,YE,1738683415
193,kani keli,-12.9536,45.1033,26.59,80,100,6.03,YT,1738683416
194,neyshabur,36.2133,58.7958,5.84,29,0,0.65,IR,1738683417
195,ghat,24.9647,10.1728,21.77,17,100,3.37,LY,1738683418
196,george town,5.4112,100.3354,28.96,76,20,1.54,MY,1738683414
197,gusev,54.5922,22.1997,0.47,96,97,1.76,RU,1738683420
198,karratha,-20.7377,116.8463,30.43,70,55,5.06,AU,1738683421
199,avarua,-21.2078,-159.775,28.03,89,76,4.12,CK,1738683422
200,saint-joseph,-21.3667,55.6167,28.21,84,44,2.3,RE,1738683424
201,atafu village,-8.5421,-172.5159,28.31,69,10,6.94,TK,1738683426
202,recani,31.2846,-4.2688,16.24,26,0,4.43,MA,1738683427
203,callao,-12.0667,-77.15,25.16,69,0,5.14,PE,1738683323
204,mumbwa,-14.9783,27.0619,20.86,95,100,1.9,ZM,1738683429
205,kapuskasing,49.4169,-82.4331,-19.95,71,75,5.66,CA,1738683430
206,mthatha,-31.5889,28.7844,29.68,59,46,3.18,ZA,1738683431
207,hendrina,-26.1588,29.7153,18.11,85,96,0.93,ZA,1738683432
208,hastings,50.8552,0.5729,8.77,80,51,10.14,GB,1738683433
209,dwarka,22.2394,68.9678,20.87,61,0,5.51,IN,1738683435
210,conception bay south,47.4999,-52.9981,2.63,94,100,7.72,CA,1738683436
211,singaparna,-7.3515,108.111,23.85,77,100,1.76,ID,1738683438
212,sandnessjoen,66.0217,12.6316,3.06,87,75,5.14,NO,1738683439
213,phek,25.6667,94.5,8.54,88,42,0.39,IN,1738683440
214,motygino,58.1831,94.7592,-16.01,90,100,3.05,RU,1738683441
215,nadi,-17.8,177.4167,24.0,100,100,2.57,FJ,1738683287
216,villanueva,15.3167,-88.0,23.55,94,75,1.54,HN,1738683443
217,leua,48.2156,18.6071,1.46,55,0,1.03,SK,1738683444
218,uturoa,-16.7333,-151.4333,27.71,71,7,3.84,PF,1738683445
219,namibe,-15.1961,12.1522,25.15,77,78,4.62,AO,1738683446
220,port macquarie,-31.4333,152.9167,22.26,96,91,1.34,AU,1738683447
221,hawaiian paradise park,19.5933,-154.9731,18.28,72,40,2.57,US,1738683449
222,vorgashor,67.5833,63.95,-24.33,99,16,1.48,RU,1738683450
223,flin flon,54.7682,-101.865,-28.09,76,0,3.09,CA,1738683451
224,mwanza,-2.5167,32.9,24.95,58,100,2.86,TZ,1738683452
225,topchikha,52.8192,83.1185,-13.17,98,87,3.1,RU,1738683453
226,camana,-16.6228,-72.7111,24.48,73,31,3.37,PE,1738683454
227,noosa heads,-26.3833,153.15,24.4,83,99,4.72,AU,1738683456
228,neiafu,-18.65,-173.9833,26.77,75,100,0.54,TO,1738683460
229,lorengau,-2.0226,147.2712,27.82,75,100,3.58,PG,1738683461
230,maintirano,-18.0667,44.0167,27.71,82,89,2.93,MG,1738683462
231,kourou,5.1552,-52.6478,26.34,84,92,2.99,GF,1738683463
232,elmali,36.7358,29.9177,6.95,80,14,2.41,TR,1738683464
233,pacific grove,36.6177,-121.9166,15.24,89,97,10.28,US,1738683465
234,piti village,13.4626,144.6933,28.03,85,75,5.66,GU,1738683466
235,constitucion,-35.3333,-72.4167,22.0,47,89,4.75,CL,1738683467
236,soure,-0.7167,-48.5233,25.86,82,99,0.92,BR,1738683469
237,gadzhiyevo,69.2551,33.3362,-20.7,100,94,5.35,RU,1738683470
238,north bend,43.4065,-124.2243,1.95,93,100,4.12,US,1738683228
239,san luis de la loma,17.2706,-100.8939,28.15,54,2,1.25,MX,1738683472
240,olyokminsk,60.3736,120.4264,-26.88,100,99,0.52,RU,1738683473
241,bardai,11.65,7.2333,32.92,7,12,5.97,NG,1738683474
242,malanje,-9.5402,16.341,22.15,81,100,1.69,AO,1738683475
243,sao felix do xingu,-6.6447,-51.995,28.59,68,84,2.34,BR,1738683476
244,syas'stroy,60.1367,32.5691,-18.82,100,86,1.41,RU,1738683477
245,prince george,53.9166,-122.753,-35.99,100,8,0.59,CA,1738683478
246,portland,45.5234,-122.6762,-0.03,95,100,2.06,US,1738683127
247,saiki,32.95,131.9,0.25,70,10,4.26,JP,1738683481
248,laguna,38.421,-121.4238,11.1,90,100,8.23,US,1738683482
249,muroto-misakicho,33.2833,134.15,3.98,56,51,10.35,JP,1738683483
250,adrar,20.5022,-10.0711,24.54,13,0,5.47,MR,1738683484
251,maridi,4.9158,29.4742,31.38,24,81,1.41,SS,1738683485
252,atasu,48.6814,71.6433,-8.67,79,72,4.74,KZ,1738683486
253,medina,24.4686,39.6142,28.24,17,0,1.54,SA,1738683487
254,khovd,48.0056,91.6419,-19.87,73,2,3.33,MN,1738683488
255,wakkanai,45.4094,141.6739,-1.43,71,84,6.87,JP,1738683489
256,adre,13.4667,22.2,29.48,13,0,2.22,TD,1738683490
257,debre werk',10.6667,38.1667,19.2,28,11,0.83,ET,1738683492
258,karagandy,49.8019,73.1021,-10.03,90,52,5.36,KZ,1738683493
259,terbanggi besar,-4.8667,105.2333,25.59,86,100,2.66,ID,1738683494
260,puerto aysen,-45.4,-72.7,14.46,67,49,1.81,CL,1738683495
261,lazaro cardenas,17.9583,-102.2,26.89,66,3,1.78,MX,1738683497
262,verkhnevilyuysk,63.4453,120.3167,-28.66,94,100,4.64,RU,1738683498
263,sinop,41.7711,34.8709,-1.22,97,100,1.9,TR,1738683499
264,el granada,37.5027,-122.4694,13.44,95,100,12.35,US,1738683500
265,san antonio de pale,-1.4014,5.6325,27.63,78,76,4.22,GQ,1738683501
266,yeniseysk,58.4497,92.1703,-16.87,86,99,4.5,RU,1738683325
